alcaldia_catalogo,franja,dia_semana,mes,quincena,finde,trimestre,prob_bajo,prob_medio,prob_alto,nivel_riesgo,nivel_codigo,indice_riesgo
Azcapotzalco,Noche (18-23),Martes,2,0,0,1,0.2061,0.5377,0.2562,Medio,1,52.5
Azcapotzalco,Noche (18-23),Martes,2,1,0,1,0.2006,0.5133,0.2861,Medio,1,54.3
Azcapotzalco,Tarde (12-17),Martes,2,0,0,1,0.1462,0.4806,0.3733,Medio,1,61.4
Azcapotzalco,Tarde (12-17),Martes,2,1,0,1,0.1228,0.5066,0.3706,Medio,1,62.4
Azcapotzalco,Madrugada (00-05),Miércoles,2,0,0,1,0.8414,0.149,0.0096,Bajo,0,8.4
Azcapotzalco,Madrugada (00-05),Miércoles,2,1,0,1,0.8271,0.1631,0.0097,Bajo,0,9.1
Azcapotzalco,Mañana (06-11),Miércoles,2,0,0,1,0.2468,0.4962,0.257,Medio,1,50.5
Azcapotzalco,Mañana (06-11),Miércoles,2,1,0,1,0.2214,0.5319,0.2467,Medio,1,51.3
Azcapotzalco,Noche (18-23),Miércoles,2,0,0,1,0.1895,0.5626,0.2478,Medio,1,52.9
Azcapotzalco,Noche (18-23),Miércoles,2,1,0,1,0.1685,0.5982,0.2333,Medio,1,53.2
Azcapotzalco,Tarde (12-17),Miércoles,2,0,0,1,0.1526,0.4469,0.4004,Medio,1,62.4
Azcapotzalco,Tarde (12-17),Miércoles,2,1,0,1,0.1429,0.4681,0.389,Medio,1,62.3
Azcapotzalco,Madrugada (00-05),Sábado,2,0,1,1,0.4002,0.4852,0.1146,Medio,1,35.7
Azcapotzalco,Madrugada (00-05),Sábado,2,1,1,1,0.3695,0.5201,0.1104,Medio,1,37.0
Azcapotzalco,Mañana (06-11),Sábado,2,0,1,1,0.3523,0.4782,0.1695,Medio,1,40.9
Azcapotzalco,Mañana (06-11),Sábado,2,1,1,1,0.3139,0.5401,0.146,Medio,1,41.6
Azcapotzalco,Noche (18-23),Sábado,2,0,1,1,0.1796,0.5228,0.2976,Medio,1,55.9
Azcapotzalco,Noche (18-23),Sábado,2,1,1,1,0.1737,0.5423,0.284,Medio,1,55.5
